density,config,reshape_factor,pes,adaptive_rho,solve_index,solve_ms,status,mae,admm_iterations,pcg_iterations,r_prim,r_dual
low,1024x1024_reshape1_pes20,1,20,0,1,34.89882999997462,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape1_pes20,1,20,0,2,34.93888999992123,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape1_pes20,1,20,0,3,34.90104999991672,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape1_pes20,1,20,0,4,34.893589999910546,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape1_pes20,1,20,0,5,34.892390000095475,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape1_pes20,1,20,1,1,34.89667999997437,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape1_pes20,1,20,1,2,34.896260000095936,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape1_pes20,1,20,1,3,34.89520000016455,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape1_pes20,1,20,1,4,34.892780000063794,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape1_pes20,1,20,1,5,34.89055999989432,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape2_pes20,2,20,0,1,50.995150000062495,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape2_pes20,2,20,0,2,50.99055000005137,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape2_pes20,2,20,0,3,50.97942999987026,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape2_pes20,2,20,0,4,50.99265000012565,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape2_pes20,2,20,0,5,51.011819999985164,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape2_pes20,2,20,1,1,50.98941000005652,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape2_pes20,2,20,1,2,50.9863199999927,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape2_pes20,2,20,1,3,50.986429999966276,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape2_pes20,2,20,1,4,50.99435000010999,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
