density,config,tile_size,pes,adaptive_rho,solve_index,solve_ms,status,mae,admm_iterations,pcg_iterations,r_prim,r_dual
low,1024x1024_reshape1_pes16,1024,16,0,1,12010.352529999978,1,3.9037177e-06,150,160,0.0064525604248046875,0.0012382763670757413
low,1024x1024_reshape1_pes20,1024,20,0,1,12101.579860000016,1,3.939994e-06,150,160,0.00648808479309082,0.0012662116205319762
low,1024x1024_reshape1_pes30,1024,30,0,1,12104.256630000009,1,3.860829e-06,150,160,0.006463527679443359,0.0012426916509866714
low,1024x1024_reshape8_pes16,1024,16,0,1,12662.864359999958,1,3.9037177e-06,150,160,0.0064525604248046875,0.0012382763670757413
low,1024x1024_reshape8_pes20,1024,20,0,1,12695.040830000038,1,3.939994e-06,150,160,0.00648808479309082,0.0012662116205319762
low,1024x1024_reshape8_pes30,1024,30,0,1,12693.163299999924,1,3.860829e-06,150,160,0.006463527679443359,0.0012426916509866714
low,4096x4096_reshape1_pes16,4096,16,0,1,3421.7940600000247,1,3.8757935e-06,150,160,0.006493568420410156,0.001265442231670022
low,4096x4096_reshape1_pes20,4096,20,0,1,3422.4834599999667,1,3.853375e-06,150,160,0.006493091583251953,0.0012672839220613241
low,4096x4096_reshape1_pes30,4096,30,0,1,3431.174520000013,1,3.8835424e-06,150,160,0.006375312805175781,0.001197309815324843
low,4096x4096_reshape8_pes16,4096,16,0,1,4038.9415199999803,1,3.8757935e-06,150,160,0.006493568420410156,0.001265442231670022
low,4096x4096_reshape8_pes20,4096,20,0,1,4041.133430000059,1,3.853375e-06,150,160,0.006493091583251953,0.0012672839220613241
low,4096x4096_reshape8_pes30,4096,30,0,1,4047.9600299998992,1,3.8835424e-06,150,160,0.006375312805175781,0.001197309815324843
low,8192x8192_reshape1_pes16,8192,16,0,1,2174.0622900000517,1,3.89367e-06,150,160,0.006405830383300781,0.001206973334774375
low,8192x8192_reshape1_pes20,8192,20,0,1,2166.9467799999893,1,3.8822973e-06,150,160,0.006437540054321289,0.0012365477159619331
low,8192x8192_reshape1_pes30,8192,30,0,1,2159.6885400000474,1,3.8764865e-06,150,160,0.0064601898193359375,0.0012456148397177458
