density,config,pes,adaptive_rho,solve_index,solve_ms,status,mae,admm_iterations,pcg_iterations,r_prim,r_dual
low,1024x1024_reshape4_pes16,16,1,5,48.8322699999344,1,1.8874498e-05,115,130,0.005626201629638672,0.0015884825261309743
low,1024x1024_reshape4_pes20,20,0,1,49.08414999999877,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,20,0,2,49.09636000002138,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,20,0,3,49.090249999949265,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,20,0,4,49.0864399999964,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,20,0,5,49.101259999929425,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,20,1,1,49.08304000002772,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,20,1,2,49.087410000083764,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,20,1,3,49.08253999997214,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,20,1,4,49.09713999995802,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes20,20,1,5,49.09632999999758,1,1.8867835e-05,115,130,0.005623579025268555,0.0015875294338911772
low,1024x1024_reshape4_pes30,30,0,1,49.650830000018686,1,1.887681e-05,115,130,0.005629420280456543,0.0015892270021140575
low,1024x1024_reshape4_pes30,30,0,2,49.64023000002271,1,1.887681e-05,115,130,0.005629420280456543,0.0015892270021140575
low,1024x1024_reshape4_pes30,30,0,3,49.64209000002029,1,1.887681e-05,115,130,0.005629420280456543,0.0015892270021140575
low,1024x1024_reshape4_pes30,30,0,4,49.64040000004388,1,1.887681e-05,115,130,0.005629420280456543,0.0015892270021140575
low,1024x1024_reshape4_pes30,30,0,5,49.6543900000006,1,1.887681e-05,115,130,0.005629420280456543,0.0015892270021140575
low,1024x1024_reshape4_pes30,30,1,1,49.634210000021994,1,1.887681e-05,115,130,0.005629420280456543,0.0015892270021140575
low,1024x1024_reshape4_pes30,30,1,2,49.63964000000942,1,1.887681e-05,115,130,0.005629420280456543,0.0015892270021140575
low,1024x1024_reshape4_pes30,30,1,3,49.643220000007204,1,1.887681e-05,115,130,0.005629420280456543,0.0015892270021140575
low,1024x1024_reshape4_pes30,30,1,4,49.644459999967694,1,1.887681e-05,115,130,0.005629420280456543,0.0015892270021140575
low,1024x1024_reshape4_pes30,30,1,5,49.65336999998726,1,1.887681e-05,115,130,0.005629420280456543,0.0015892270021140575
low,1024x1024_reshape4_pes40,40,0,1,50.247369999965485,1,1.8896679e-05,115,130,0.005632519721984863,0.00158913794439286
low,1024x1024_reshape4_pes40,40,0,2,50.24362000006022,1,1.8896679e-05,115,130,0.005632519721984863,0.00158913794439286
low,1024x1024_reshape4_pes40,40,0,3,50.24622999997064,1,1.8896679e-05,115,130,0.005632519721984863,0.00158913794439286
low,1024x1024_reshape4_pes40,40,0,4,50.24345999993329,1,1.8896679e-05,115,130,0.005632519721984863,0.00158913794439286
low,1024x1024_reshape4_pes40,40,0,5,50.258839999969496,1,1.8896679e-05,115,130,0.005632519721984863,0.00158913794439286
low,1024x1024_reshape4_pes40,40,1,1,50.24530999992294,1,1.8896679e-05,115,130,0.005632519721984863,0.00158913794439286
low,1024x1024_reshape4_pes40,40,1,2,50.24204999995163,1,1.8896679e-05,115,130,0.005632519721984863,0.00158913794439286
low,1024x1024_reshape4_pes40,40,1,3,50.24232000005213,1,1.8896679e-05,115,130,0.005632519721984863,0.00158913794439286
low,1024x1024_reshape4_pes40,40,1,4,50.242359999970176,1,1.8896679e-05,115,130,0.005632519721984863,0.00158913794439286
low,1024x1024_reshape4_pes40,40,1,5,50.2543100000139,1,1.8896679e-05,115,130,0.005632519721984863,0.00158913794439286
low,1024x1024_reshape4_pes50,50,0,1,50.93523000005007,1,1.8884755e-05,115,130,0.005627274513244629,0.0015892268856987357
low,1024x1024_reshape4_pes50,50,0,2,50.94514999996136,1,1.8884755e-05,115,130,0.005627274513244629,0.0015892268856987357
low,1024x1024_reshape4_pes50,50,0,3,50.94133000000056,1,1.8884755e-05,115,130,0.005627274513244629,0.0015892268856987357
low,1024x1024_reshape4_pes50,50,0,4,50.93755999996574,1,1.8884755e-05,115,130,0.005627274513244629,0.0015892268856987357
low,1024x1024_reshape4_pes50,50,0,5,50.944189999995615,1,1.8884755e-05,115,130,0.005627274513244629,0.0015892268856987357
low,1024x1024_reshape4_pes50,50,1,1,50.93184999998357,1,1.8884755e-05,115,130,0.005627274513244629,0.0015892268856987357
low,1024x1024_reshape4_pes50,50,1,2,50.93974999999773,1,1.8884755e-05,115,130,0.005627274513244629,0.0015892268856987357
low,1024x1024_reshape4_pes50,50,1,3,50.939510000034716,1,1.8884755e-05,115,130,0.005627274513244629,0.0015892268856987357
low,1024x1024_reshape4_pes50,50,1,4,50.93772000009267,1,1.8884755e-05,115,130,0.005627274513244629,0.0015892268856987357
low,1024x1024_reshape4_pes50,50,1,5,50.94425999993746,1,1.8884755e-05,115,130,0.005627274513244629,0.0015892268856987357
low,1024x1024_reshape4_pes60,60,0,1,51.53340999993361,1,1.887169e-05,115,130,0.005622506141662598,0.0015878570266067982
low,1024x1024_reshape4_pes60,60,0,2,51.53377999999975,1,1.887169e-05,115,130,0.005622506141662598,0.0015878570266067982
low,1024x1024_reshape4_pes60,60,0,3,51.529340000001866,1,1.887169e-05,115,130,0.005622506141662598,0.0015878570266067982
low,1024x1024_reshape4_pes60,60,0,4,51.53015999997024,1,1.887169e-05,115,130,0.005622506141662598,0.0015878570266067982
low,1024x1024_reshape4_pes60,60,0,5,51.55887000000803,1,1.887169e-05,115,130,0.005622506141662598,0.0015878570266067982
low,1024x1024_reshape4_pes60,60,1,1,51.538309999955345,1,1.887169e-05,115,130,0.005622506141662598,0.0015878570266067982
low,1024x1024_reshape4_pes60,60,1,2,51.53611999992336,1,1.887169e-05,115,130,0.005622506141662598,0.0015878570266067982
low,1024x1024_reshape4_pes60,60,1,3,51.53381000002355,1,1.887169e-05,115,130,0.005622506141662598,0.0015878570266067982
low,1024x1024_reshape4_pes60,60,1,4,51.53441000004477,1,1.887169e-05,115,130,0.005622506141662598,0.0015878570266067982
low,1024x1024_reshape4_pes60,60,1,5,51.546629999961624,1,1.887169e-05,115,130,0.005622506141662598,0.0015878570266067982
medium,1024x1024_reshape4_pes4,4,0,1,315.4882300000281,1,0.00013424434,245,265,0.009244617074728012,0.00182474369648844
medium,1024x1024_reshape4_pes4,4,0,2,315.48840999994354,1,0.00013424434,245,265,0.009244617074728012,0.00182474369648844
medium,1024x1024_reshape4_pes4,4,0,3,315.48521000001983,1,0.00013424434,245,265,0.009244617074728012,0.00182474369648844
medium,1024x1024_reshape4_pes4,4,0,4,315.4817399999956,1,0.00013424434,245,265,0.009244617074728012,0.00182474369648844
medium,1024x1024_reshape4_pes4,4,0,5,315.48295999994025,1,0.00013424434,245,265,0.009244617074728012,0.00182474369648844
medium,1024x1024_reshape4_pes4,4,1,1,517.5303500000155,1,0.00011377739,430,316,0.004715144634246826,0.00030199112370610237
medium,1024x1024_reshape4_pes4,4,1,2,517.5311299999521,1,0.00011377739,430,316,0.004715144634246826,0.00030199112370610237
medium,1024x1024_reshape4_pes4,4,1,3,517.5365200000215,1,0.00011377739,430,316,0.004715144634246826,0.00030199112370610237
medium,1024x1024_reshape4_pes4,4,1,4,517.5279500000443,1,0.00011377739,430,316,0.004715144634246826,0.00030199112370610237
medium,1024x1024_reshape4_pes4,4,1,5,517.5253399999065,1,0.00011377739,430,316,0.004715144634246826,0.00030199112370610237
medium,1024x1024_reshape4_pes8,8,0,1,223.50965999999062,1,0.00013418573,245,265,0.009241398423910141,0.0018278213683515787
medium,1024x1024_reshape4_pes8,8,0,2,223.56240999999955,1,0.00013418573,245,265,0.009241398423910141,0.0018278213683515787
medium,1024x1024_reshape4_pes8,8,0,3,223.51002000004883,1,0.00013418573,245,265,0.009241398423910141,0.0018278213683515787
medium,1024x1024_reshape4_pes8,8,0,4,223.50324000001365,1,0.00013418573,245,265,0.009241398423910141,0.0018278213683515787
medium,1024x1024_reshape4_pes8,8,0,5,223.50867000000108,1,0.00013418573,245,265,0.009241398423910141,0.0018278213683515787
medium,1024x1024_reshape4_pes8,8,1,1,370.1690500000723,1,0.000113910646,430,316,0.004714667797088623,0.00030238396720960736
medium,1024x1024_reshape4_pes8,8,1,2,370.1779399999623,1,0.000113910646,430,316,0.004714667797088623,0.00030238396720960736
medium,1024x1024_reshape4_pes8,8,1,3,370.1722600000039,1,0.000113910646,430,316,0.004714667797088623,0.00030238396720960736
medium,1024x1024_reshape4_pes8,8,1,4,370.1726399999643,1,0.000113910646,430,316,0.004714667797088623,0.00030238396720960736
medium,1024x1024_reshape4_pes8,8,1,5,370.17186000002766,1,0.000113910646,430,316,0.004714667797088623,0.00030238396720960736
medium,1024x1024_reshape4_pes16,16,0,1,125.08908999996038,1,0.00013416659,245,265,0.009249027818441391,0.0018272999441251159
medium,1024x1024_reshape4_pes16,16,0,2,125.09040999998433,1,0.00013416659,245,265,0.009249027818441391,0.0018272999441251159
medium,1024x1024_reshape4_pes16,16,0,3,125.09408000005351,1,0.00013416659,245,265,0.009249027818441391,0.0018272999441251159
medium,1024x1024_reshape4_pes16,16,0,4,125.08980000006886,1,0.00013416659,245,265,0.009249027818441391,0.0018272999441251159
medium,1024x1024_reshape4_pes16,16,0,5,125.08447000004708,1,0.00013416659,245,265,0.009249027818441391,0.0018272999441251159
medium,1024x1024_reshape4_pes16,16,1,1,212.35489000002872,1,0.0001138,430,316,0.004712522029876709,0.0003016265982296318
medium,1024x1024_reshape4_pes16,16,1,2,212.366320000001,1,0.0001138,430,316,0.004712522029876709,0.0003016265982296318
medium,1024x1024_reshape4_pes16,16,1,3,212.36870000007002,1,0.0001138,430,316,0.004712522029876709,0.0003016265982296318
medium,1024x1024_reshape4_pes16,16,1,4,212.36047000002145,1,0.0001138,430,316,0.004712522029876709,0.0003016265982296318
medium,1024x1024_reshape4_pes16,16,1,5,212.35397999998895,1,0.0001138,430,316,0.004712522029876709,0.0003016265982296318
medium,1024x1024_reshape4_pes20,20,0,1,119.04443000003084,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape4_pes20,20,0,2,119.04830999992555,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
medium,1024x1024_reshape4_pes20,20,0,3,119.03576999998222,1,0.00013422579,245,265,0.009240325540304184,0.00182948203291744
